 ,Area,Mean
320,402,255
321,293,255
322,420,255
323,402,255
324,250,255
325,361,255
326,366,255
327,435,255
328,417,255
329,377,255
330,347,255
331,399,255
332,341,255
333,241,255
334,373,255
335,216,255
336,321,255
337,392,255
338,391,255
339,425,255
340,438,255
341,285,255
342,425,255
343,479,255
344,477,255
345,348,255
346,274,255
347,441,255
348,448,255
349,345,255
350,336,255
351,295,255
352,355,255
353,368,255
354,497,255
355,429,255
356,347,255
357,341,255
358,345,255
359,448,255
360,336,255
361,337,255
362,313,255
363,310,255
364,327,255
365,336,255
366,390,255
367,480,255
368,364,255
369,426,255
370,464,255
371,393,255
372,398,255
373,431,255
374,325,255
375,428,255
376,371,255
377,414,255
378,483,255
379,415,255
380,402,255
381,429,255
382,395,255
383,335,255
384,458,255
385,390,255
386,332,255
387,363,255
388,383,255
389,371,255
390,373,255
391,411,255
392,370,255
393,367,255
394,357,255
395,488,255
396,455,255
397,342,255
398,354,255
399,352,255
400,332,255
401,391,255
402,311,255
403,406,255
404,493,255
405,459,255
406,408,255
407,405,255
408,391,255
409,329,255
410,350,255
411,323,255
412,20,255
413,309,255
414,359,255
415,331,255
416,471,255
417,282,255
418,407,255
419,354,255
420,405,255
421,460,255
422,336,255
423,424,255
424,372,255
425,374,255
426,235,255
427,439,255
428,399,255
429,411,255
430,448,255
431,485,255
432,25,255
433,343,255
434,406,255
435,427,255
436,386,255
437,377,255
438,360,255
439,488,255
440,416,255
441,414,255
442,400,255
443,487,255
444,429,255
445,403,255
446,349,255
447,346,255
448,475,255
449,431,255
450,465,255
451,423,255
452,430,255
453,436,255
454,421,255
455,332,255
456,376,255
457,408,255
458,426,255
459,396,255
460,322,255
461,327,255
462,479,255
463,316,255
464,358,255
465,358,255
466,395,255
467,250,255
468,490,255
469,216,255
470,185,255
471,409,255
472,342,255
473,374,255
474,496,255
475,389,255
476,466,255
477,435,255
478,372,255
479,416,255
480,465,255
481,478,255
482,372,255
483,414,255
484,442,255
485,188,255
486,464,255
487,441,255
488,362,255
489,368,255
490,457,255
491,368,255
492,411,255
493,486,255
494,432,255
495,442,255
496,326,255
497,370,255
498,372,255
499,478,255
500,363,255
501,376,255
502,395,255
503,414,255
504,407,255
505,349,255
506,280,255
507,377,255
508,471,255
509,448,255
510,467,255
511,374,255
512,331,255
513,457,255
514,370,255
515,466,255
516,401,255
517,291,255
518,367,255
519,426,255
520,384,255
521,394,255
522,369,255
523,369,255
524,411,255
525,360,255
526,328,255
527,374,255
528,447,255
529,329,255
530,341,255
531,352,255
532,220,255
533,322,255
534,430,255
535,346,255
536,382,255
537,396,255
538,406,255
539,343,255
540,320,255
541,399,255
542,329,255
543,244,255
544,317,255
545,321,255
546,350,255
547,346,255
548,489,255
549,391,255
550,468,255
551,371,255
552,331,255
553,438,255
554,403,255
555,477,255
556,316,255
557,449,255
558,329,255
559,427,255
560,464,255
561,370,255
562,392,255
563,476,255
564,464,255
565,398,255
566,365,255
567,429,255
568,437,255
569,462,255
570,383,255
571,384,255
572,343,255
573,423,255
574,379,255
575,428,255
576,365,255
577,428,255
578,453,255
579,351,255
580,368,255
581,493,255
582,453,255
583,337,255
584,386,255
585,364,255
586,364,255
587,500,255
588,435,255
589,360,255
590,349,255
591,365,255
592,351,255
593,406,255
594,370,255
595,437,255
596,225,255
597,403,255
598,450,255
599,422,255
600,411,255
601,331,255
602,348,255
603,460,255
604,288,255
605,268,255
606,335,255
607,248,255
608,388,255
609,345,255
610,382,255
611,407,255
612,429,255
613,363,255
614,458,255
615,492,255
616,374,255
617,371,255
618,388,255
619,480,255
620,393,255
621,349,255
622,424,255
